Item;ACUSACION;ANIO_DENUNCIA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;CONEXO;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;LEY;MUNICIPIO;PAIS_NACIMIENTO;RUPTURA;SECCIONAL;SEXO_VICTIMA;TOTAL_VICTIMAS;Region;Nº_Habitantes
531;NO;2019;2019;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
533;NO;2019;2019;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;Ley 906;BELLO;N/A;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
758;NO;2020;2020;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
762;NO;2020;2020;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACIÓN;ADULTO MAYOR DE 60;SI;SI;NO;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
763;NO;2020;2020;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;SI;NO;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
1162;NO;2021;2021;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;MASCULINO;1;Región Eje Cafetero - Antioquia;5974788
1168;NO;2021;2021;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
1579;NO;2022;2022;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
1789;NO;2022;2022;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2002;SI;2016;2016;NO;NO;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
