Item;ACUSACION;ANIO_DENUNCIA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;CONEXO;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;LEY;MUNICIPIO;PAIS_NACIMIENTO;RUPTURA;SECCIONAL;SEXO_VICTIMA;TOTAL_VICTIMAS;Region;Nß_Habitantes
3013;SI;2020;2020;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Cesar;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;VALLEDUPAR;Colombia;NO;DIRECCI‡N SECCIONAL DE CESAR;FEMENINO;1;Regi¢n Caribe;
3014;SI;2020;2020;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Cesar;ACTIVO;JUICIO;JUVENTUD 18 - 28;SI;SI;SI;Ley 906;VALLEDUPAR;Colombia;NO;DIRECCI‡N SECCIONAL DE CESAR;FEMENINO;1;Regi¢n Caribe;
3412;SI;2021;2021;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Cesar;ACTIVO;JUICIO;ADOLESCENTE 14 - 17;SI;NO;SI;Ley 906;VALLEDUPAR;Colombia;NO;DIRECCI‡N SECCIONAL DE CESAR;FEMENINO;1;Regi¢n Caribe;
3413;SI;2021;2021;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Cesar;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;VALLEDUPAR;Colombia;NO;DIRECCI‡N SECCIONAL DE CESAR;FEMENINO;1;Regi¢n Caribe;
3414;SI;2021;2021;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Cesar;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;VALLEDUPAR;Colombia;NO;DIRECCI‡N SECCIONAL DE CESAR;MASCULINO;1;Regi¢n Caribe;
382;NO;2018;2018;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;ADOLESCENTE 14 - 17;SI;NO;NO;Ley 906;ACAND÷;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
211;NO;2017;2017;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;JUVENTUD 18 - 28;SI;SI;NO;Ley 906;ALTO BAUDO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
2923;SI;2019;2019;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;ATRATO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
2924;SI;2019;2019;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;ATRATO;N/A;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
3337;SI;2021;2021;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;JUICIO;SIN DATO;SI;SI;SI;Ley 906;ATRATO;Venezuela;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
825;NO;2020;2020;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;INDAGACI‡N;ADULTEZ 29 - 59;SI;SI;NO;Ley 906;BAGAD‡;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
476;NO;2018;2018;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;INVESTIGACI‡N;SIN DATO;SI;SI;SI;Ley 906;BAH÷A SOLANO;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
1396;NO;2022;2022;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;BAJO BAUD‡;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
